"sample_id","sample_region"
"HGDP00562_ERS474744","ME"
"HGDP01396_ERS474589","AS"
"HGDP01396_ERS474589","AS"
"HGDP01383_ERS474583","AS"
"HGDP01383_ERS474583","AS"
"HGDP00341_ERS474413","AS"
"HGDP00341_ERS474413","AS"
"HGDP00947_ERS474356","AS"
"HGDP00947_ERS474356","AS"
"HGDP00723_ERS474805","ME"
"HGDP00723_ERS474805","ME"
"HGDP00467_ERS474070","AF"
"HGDP00467_ERS474070","AF"
"HGDP00610_ERS474829","ME"
"HGDP00610_ERS474829","ME"
"HGDP00001_ERS474507","AS"
"HGDP00001_ERS474507","AS"
"HGDP00218_ERS474439","AS"
"HGDP00218_ERS474439","AS"
"HGDP00933_ERS474113","AF"
"HGDP00933_ERS474113","AF"
"HGDP00062_ERS474538","AS"
"HGDP00062_ERS474538","AS"
"HGDP01086_ERS474062","AF"
"HGDP01086_ERS474062","AF"
"HGDP01192_ERS474241","AS"
"HGDP01192_ERS474241","AS"
"HGDP00009_ERS474511","AS"
"HGDP00009_ERS474511","AS"
"HGDP00924_ERS474104","AF"
"HGDP00924_ERS474104","AF"
"HGDP00920_ERS474103","AF"
"HGDP00920_ERS474103","AF"
"HGDP01225_ERS474288","AS"
"HGDP01225_ERS474288","AS"
"HGDP00925_ERS474105","AF"
"HGDP00925_ERS474105","AF"
"HGDP00938_ERS474118","AF"
"HGDP00938_ERS474118","AF"
"HGDP00478_ERS474074","AF"
"HGDP00478_ERS474074","AF"
"HGDP00939_ERS474119","AF"
"HGDP00939_ERS474119","AF"
"HGDP01256_ERS474875","AF"
"HGDP01256_ERS474875","AF"
"HGDP00724_ERS474806","ME"
"HGDP00724_ERS474806","ME"
"HGDP00726_ERS474808","ME"
"HGDP00726_ERS474808","ME"
"HGDP01190_ERS474239","AS"
"HGDP01190_ERS474239","AS"
"HGDP01029_ERS474081","AF"
"HGDP01029_ERS474081","AF"
"HGDP00118_ERS474402","AS"
"HGDP00118_ERS474402","AS"
"HGDP01081_ERS474077","AF"
"HGDP01081_ERS474077","AF"
"HGDP01415_ERS474098","AF"
"HGDP01415_ERS474098","AF"
"HGDP01418_ERS474101","AF"
"HGDP01418_ERS474101","AF"
"HGDP01419_ERS474102","AF"
"HGDP01419_ERS474102","AF"
"HGDP00992_ERS474080","AF"
"HGDP00992_ERS474080","AF"
"HGDP00781_ERS474154","AS"
"HGDP00781_ERS474154","AS"
"HGDP00926_ERS474106","AF"
"HGDP00926_ERS474106","AF"
"HGDP00782_ERS474155","AS"
"HGDP00782_ERS474155","AS"
"HGDP01255_ERS474874","AF"
"HGDP01255_ERS474874","AF"
"HGDP00460_ERS474049","AF"
"HGDP00460_ERS474049","AF"
"HGDP01245_ERS474270","AS"
"HGDP01245_ERS474270","AS"
"HGDP00930_ERS474110","AF"
"HGDP00930_ERS474110","AF"
"HGDP00820_ERS474168","AS"
"HGDP00820_ERS474168","AS"
"HGDP01214_ERS474297","AS"
"HGDP01214_ERS474297","AS"
"HGDP00319_ERS474501","AS"
"HGDP00319_ERS474501","AS"
"HGDP01186_ERS474235","AS"
"HGDP01186_ERS474235","AS"
"HGDP01310_ERS474194","AS"
"HGDP01310_ERS474194","AS"
"HGDP00821_ERS474169","AS"
"HGDP00821_ERS474169","AS"
"HGDP00777_ERS474150","AS"
"HGDP00777_ERS474150","AS"
"HGDP00984_ERS474076","AF"
"HGDP00984_ERS474076","AF"
"HGDP01327_ERS474218","AS"
"HGDP01327_ERS474218","AS"
"HGDP01099_ERS474252","AS"
"HGDP01099_ERS474252","AS"
"HGDP01416_ERS474099","AF"
"HGDP01416_ERS474099","AF"
"HGDP00972_ERS474172","AS"
"HGDP00972_ERS474172","AS"
"HGDP01313_ERS474197","AS"
"HGDP01313_ERS474197","AS"
"HGDP00813_ERS474162","AS"
"HGDP00813_ERS474162","AS"
"HGDP00814_ERS474163","AS"
"HGDP00814_ERS474163","AS"
"HGDP00971_ERS474171","AS"
"HGDP00971_ERS474171","AS"
"HGDP01296_ERS474190","AS"
"HGDP01296_ERS474190","AS"
"HGDP01330_ERS474221","AS"
"HGDP01330_ERS474221","AS"
"HGDP00812_ERS474161","AS"
"HGDP00812_ERS474161","AS"
"HGDP01213_ERS474296","AS"
"HGDP01213_ERS474296","AS"
"HGDP01340_ERS474212","AS"
"HGDP01340_ERS474212","AS"
"HGDP00811_ERS474160","AS"
"HGDP00811_ERS474160","AS"
"HGDP01033_ERS474089","AF"
"HGDP01033_ERS474089","AF"
"HGDP01090_ERS474063","AF"
"HGDP01090_ERS474063","AF"
"HGDP01021_ERS474178","AS"
"HGDP01021_ERS474178","AS"
"HGDP01289_ERS474183","AS"
"HGDP01289_ERS474183","AS"
"HGDP01023_ERS474179","AS"
"HGDP01023_ERS474179","AS"
"HGDP00917_ERS474137","AF"
"HGDP00917_ERS474137","AF"
"HGDP00776_ERS474149","AS"
"HGDP00776_ERS474149","AS"
"HGDP00774_ERS474147","AS"
"HGDP00774_ERS474147","AS"
"HGDP00815_ERS474164","AS"
"HGDP00815_ERS474164","AS"
"HGDP00779_ERS474152","AS"
"HGDP00779_ERS474152","AS"
"HGDP00818_ERS474166","AS"
"HGDP00818_ERS474166","AS"
"HGDP00784_ERS474157","AS"
"HGDP00784_ERS474157","AS"
"HGDP01318_ERS474202","AS"
"HGDP01318_ERS474202","AS"
"HGDP01100_ERS474253","AS"
"HGDP01100_ERS474253","AS"
"HGDP01290_ERS474184","AS"
"HGDP01290_ERS474184","AS"
"HGDP00975_ERS474175","AS"
"HGDP00975_ERS474175","AS"
"HGDP00974_ERS474174","AS"
"HGDP00974_ERS474174","AS"
"HGDP01196_ERS474245","AS"
"HGDP01196_ERS474245","AS"
"HGDP00786_ERS474159","AS"
"HGDP00786_ERS474159","AS"
"HGDP01181_ERS474230","AS"
"HGDP01181_ERS474230","AS"
"HGDP01354_ERS474265","AS"
"HGDP01354_ERS474265","AS"
"HGDP01294_ERS474188","AS"
"HGDP01294_ERS474188","AS"
"HGDP01352_ERS474263","AS"
"HGDP01352_ERS474263","AS"
"HGDP01348_ERS474259","AS"
"HGDP01348_ERS474259","AS"
"HGDP01322_ERS474206","AS"
"HGDP01322_ERS474206","AS"
"HGDP00977_ERS474177","AS"
"HGDP00977_ERS474177","AS"
"HGDP00780_ERS474153","AS"
"HGDP00780_ERS474153","AS"
"HGDP01287_ERS474181","AS"
"HGDP01287_ERS474181","AS"
"HGDP01292_ERS474186","AS"
"HGDP01292_ERS474186","AS"
"HGDP00976_ERS474176","AS"
"HGDP00976_ERS474176","AS"
"HGDP01224_ERS474287","AS"
"HGDP01224_ERS474287","AS"
"HGDP01184_ERS474233","AS"
"HGDP01184_ERS474233","AS"
"HGDP01334_ERS474225","AS"
"HGDP01334_ERS474225","AS"
"HGDP01321_ERS474205","AS"
"HGDP01321_ERS474205","AS"
"HGDP01101_ERS474254","AS"
"HGDP01101_ERS474254","AS"
"HGDP01353_ERS474264","AS"
"HGDP01353_ERS474264","AS"
"HGDP00817_ERS474165","AS"
"HGDP00817_ERS474165","AS"
"HGDP01180_ERS474229","AS"
"HGDP01180_ERS474229","AS"
"HGDP01195_ERS474244","AS"
"HGDP01195_ERS474244","AS"
"HGDP01341_ERS474213","AS"
"HGDP01341_ERS474213","AS"
"HGDP01319_ERS474203","AS"
"HGDP01319_ERS474203","AS"
"HGDP01311_ERS474195","AS"
"HGDP01311_ERS474195","AS"
"HGDP01193_ERS474242","AS"
"HGDP01193_ERS474242","AS"
"HGDP01104_ERS474257","AS"
"HGDP01104_ERS474257","AS"
"HGDP01187_ERS474236","AS"
"HGDP01187_ERS474236","AS"
"HGDP01347_ERS474258","AS"
"HGDP01347_ERS474258","AS"
"HGDP01197_ERS474246","AS"
"HGDP01197_ERS474246","AS"
"HGDP01349_ERS474260","AS"
"HGDP01349_ERS474260","AS"
"HGDP01351_ERS474262","AS"
"HGDP01351_ERS474262","AS"
"HGDP01328_ERS474219","AS"
"HGDP01328_ERS474219","AS"
"HGDP01295_ERS474189","AS"
"HGDP01295_ERS474189","AS"
"HGDP01288_ERS474182","AS"
"HGDP01288_ERS474182","AS"
"HGDP01329_ERS474220","AS"
"HGDP01329_ERS474220","AS"
"HGDP00747_ERS474325","AS"
"HGDP00747_ERS474325","AS"
"HGDP01293_ERS474187","AS"
"HGDP01293_ERS474187","AS"
"HGDP00973_ERS474173","AS"
"HGDP00973_ERS474173","AS"
"HGDP00762_ERS474340","AS"
"HGDP00762_ERS474340","AS"
"HGDP01185_ERS474234","AS"
"HGDP01185_ERS474234","AS"
"HGDP01331_ERS474222","AS"
"HGDP01331_ERS474222","AS"
"HGDP01103_ERS474256","AS"
"HGDP01103_ERS474256","AS"
"HGDP01317_ERS474201","AS"
"HGDP01317_ERS474201","AS"
"HGDP01346_ERS474217","AS"
"HGDP01346_ERS474217","AS"
"HGDP01342_ERS474214","AS"
"HGDP01342_ERS474214","AS"
"HGDP01238_ERS474281","AS"
"HGDP01238_ERS474281","AS"
"HGDP01326_ERS474208","AS"
"HGDP01326_ERS474208","AS"
"HGDP01356_ERS474267","AS"
"HGDP01356_ERS474267","AS"
"HGDP00958_ERS474367","AS"
"HGDP00958_ERS474367","AS"
"HGDP01247_ERS474272","AS"
"HGDP01247_ERS474272","AS"
"HGDP00766_ERS474344","AS"
"HGDP00766_ERS474344","AS"
"HGDP01233_ERS474277","AS"
"HGDP01233_ERS474277","AS"
"HGDP01207_ERS474310","AS"
"HGDP01207_ERS474310","AS"
"HGDP01336_ERS474227","AS"
"HGDP01336_ERS474227","AS"
"HGDP00819_ERS474167","AS"
"HGDP00819_ERS474167","AS"
"HGDP00382_ERS474422","AS"
"HGDP00382_ERS474422","AS"
"HGDP00946_ERS474355","AS"
"HGDP00946_ERS474355","AS"
"HGDP01332_ERS474223","AS"
"HGDP01332_ERS474223","AS"
"HGDP01337_ERS474209","AS"
"HGDP01337_ERS474209","AS"
"HGDP01222_ERS474305","AS"
"HGDP01222_ERS474305","AS"
"HGDP01291_ERS474185","AS"
"HGDP01291_ERS474185","AS"
"HGDP01183_ERS474232","AS"
"HGDP01183_ERS474232","AS"
"HGDP00822_ERS474170","AS"
"HGDP00822_ERS474170","AS"
"HGDP00755_ERS474333","AS"
"HGDP00755_ERS474333","AS"
"HGDP00966_ERS474375","AS"
"HGDP00966_ERS474375","AS"
"HGDP01304_ERS474386","AS"
"HGDP01304_ERS474386","AS"
"HGDP00716_ERS474320","AS"
"HGDP00716_ERS474320","AS"
"HGDP01182_ERS474231","AS"
"HGDP01182_ERS474231","AS"
"HGDP01230_ERS474293","AS"
"HGDP01230_ERS474293","AS"
"HGDP00965_ERS474374","AS"
"HGDP00965_ERS474374","AS"
"HGDP01194_ERS474243","AS"
"HGDP01194_ERS474243","AS"
