"node_id","X","Y"
0,-10617391.9741591,1542840.06136381
1,-10617391.9741591,1542840.06136381
2,-7942129.07763006,516038.586656641
3,-7942129.07763006,516038.586656641
4,-6031435.71509094,-387100.852345275
5,-6031435.71509094,-387100.852345275
6,-6801290.69160269,129061.003553229
7,-6801290.69160269,129061.003553229
8,-6031435.71509094,-387100.852345275
9,-6031435.71509094,-387100.852345275
10,-9058641.07173178,1030760.60072679
11,-9058641.07173178,1030760.60072679
12,813572.88743204,3537314.10275363
13,813572.88743204,3537314.10275363
14,-7942129.07763006,516038.586656641
15,-7942129.07763006,516038.586656641
16,-7942129.07763006,516038.586656641
17,-7942129.07763006,516038.586656641
18,-7942129.07763006,516038.586656641
19,-7942129.07763006,516038.586656641
20,-8326086.47962336,5265426.31796481
21,-8326086.47962336,5265426.31796481
22,-7942129.07763006,516038.586656641
23,-7942129.07763006,516038.586656641
24,-6031435.71509094,-387100.852345275
25,-6031435.71509094,-387100.852345275
26,-7942129.07763006,516038.586656641
27,-7942129.07763006,516038.586656641
28,-7942129.07763006,516038.586656641
29,-7942129.07763006,516038.586656641
30,-10617391.9741591,1542840.06136381
31,-10617391.9741591,1542840.06136381
32,-10617391.9741591,1542840.06136381
33,-10617391.9741591,1542840.06136381
34,-7942129.07763006,516038.586656641
35,-7942129.07763006,516038.586656641
36,-7942129.07763006,516038.586656641
37,-7942129.07763006,516038.586656641
38,-10617391.9741591,1542840.06136381
39,-10617391.9741591,1542840.06136381
40,-9058641.07173178,1030760.60072679
41,-9058641.07173178,1030760.60072679
42,-6914071.11309582,-3245766.83188501
43,-6914071.11309582,-3245766.83188501
44,-9058641.07173178,1030760.60072679
45,-9058641.07173178,1030760.60072679
46,-6031435.71509094,-387100.852345275
47,-6031435.71509094,-387100.852345275
48,1919405.78140085,5846288.03361995
49,1919405.78140085,5846288.03361995
50,-10617391.9741591,1542840.06136381
51,-10617391.9741591,1542840.06136381
52,-10617391.9741591,1542840.06136381
53,-10617391.9741591,1542840.06136381
54,-10617391.9741591,1542840.06136381
55,-10617391.9741591,1542840.06136381
56,-9058641.07173178,1030760.60072679
57,-9058641.07173178,1030760.60072679
58,-10617391.9741591,1542840.06136381
59,-10617391.9741591,1542840.06136381
60,-7942129.07763006,516038.586656641
61,-7942129.07763006,516038.586656641
62,-9058641.07173178,1030760.60072679
63,-9058641.07173178,1030760.60072679
64,-7942129.07763006,516038.586656641
65,-7942129.07763006,516038.586656641
66,-1535058.85468986,5319600.55512025
67,-1535058.85468986,5319600.55512025
68,-9058641.07173178,1030760.60072679
69,-9058641.07173178,1030760.60072679
70,-9058641.07173178,1030760.60072679
71,-9058641.07173178,1030760.60072679
72,-6801290.69160269,129061.003553229
73,-6801290.69160269,129061.003553229
74,-7942129.07763006,516038.586656641
75,-7942129.07763006,516038.586656641
76,-9058641.07173178,1030760.60072679
77,-9058641.07173178,1030760.60072679
78,-9058641.07173178,1030760.60072679
79,-9058641.07173178,1030760.60072679
80,-6031435.71509094,-387100.852345275
81,-6031435.71509094,-387100.852345275
82,-1535058.85468986,5319600.55512025
83,-1535058.85468986,5319600.55512025
84,-1571083.03077582,5373513.60547592
